arc_length,Points_0,Points_1,Points_2,STA_NL__SIGM_NOEU_0,STA_NL__SIGM_NOEU_1,STA_NL__SIGM_NOEU_2,STA_NL__SIGM_NOEU_3,STA_NL__SIGM_NOEU_4,STA_NL__SIGM_NOEU_5
131.812,-2065.08,-5293.19,-76.1802,-7.51153,328.956,-7.78769,6.07425,-0.115363,-2.81013
134.125,-2065.08,-5290.88,-76.1802,-8.07454,318.827,-8.68019,6.25849,-0.117154,-2.7837
136.438,-2065.08,-5288.56,-76.1802,-8.63754,308.698,-9.5727,6.44272,-0.118945,-2.75728
138.75,-2065.08,-5286.25,-76.1802,-9.24848,298.163,-10.4555,6.60676,-0.118742,-2.72775
141.062,-2065.08,-5283.94,-76.1802,-9.87619,287.486,-11.3349,6.76373,-0.117841,-2.69714
143.375,-2065.08,-5281.62,-76.1802,-10.5039,276.808,-12.2142,6.9207,-0.11694,-2.66652
145.688,-2065.08,-5279.31,-76.1802,-11.1529,266.021,-12.7577,6.93598,-0.11297,-2.63317
148,-2065.08,-5277,-76.1802,-11.808,255.202,-13.2052,6.91078,-0.108124,-2.59904
150.312,-2065.08,-5274.69,-76.1802,-12.4631,244.383,-13.6528,6.88559,-0.103278,-2.5649
152.625,-2065.08,-5272.38,-76.1802,-13.0153,234.423,-13.0953,6.49932,-0.0925388,-2.53126
154.938,-2065.08,-5270.06,-76.1802,-13.5441,224.66,-12.3094,6.031,-0.08046,-2.49773
157.25,-2065.08,-5267.75,-76.1802,-14.0729,214.896,-11.5236,5.56268,-0.0683812,-2.46419
159.562,-2065.08,-5265.44,-76.1802,-14.3819,208.037,-8.72665,4.19923,-0.0410789,-2.44439
161.875,-2065.08,-5263.12,-76.1802,-14.6526,201.683,-5.57975,2.68001,-0.0111274,-2.42698
164.188,-2065.08,-5260.81,-76.1802,-14.9234,195.329,-2.43285,1.16079,0.0188242,-2.40957
166.5,-2065.08,-5258.5,-76.1802,-11.6874,199.12,6.27676,-1.79776,0.102518,-2.49701
168.812,-2065.08,-5256.19,-76.1802,-8.01324,204.179,15.6814,-4.93613,0.192927,-2.59756
171.125,-2065.08,-5253.88,-76.1802,-4.33909,209.238,25.086,-8.0745,0.283335,-2.69811
173.438,-2065.08,-5251.56,-76.1802,4.06447,239.51,44.0756,-18.6624,0.699318,-2.78349
175.75,-2065.08,-5249.25,-76.1802,12.8466,271.8,63.8325,-29.8465,1.14136,-2.86766
178.062,-2065.08,-5246.94,-76.1802,21.6287,304.09,83.5893,-41.0307,1.58341,-2.95183
180.375,-2065.08,-5244.62,-76.1802,39.5328,281.314,90.8385,-70.7149,1.20423,-5.13842
182.688,-2065.08,-5242.31,-76.1802,57.7868,256.426,97.6077,-101.109,0.793541,-7.40567
185,-2065.08,-5240,-76.1802,76.0408,231.538,104.377,-131.503,0.382854,-9.67292
