arc_length,Points_0,Points_1,Points_2,STA_NL__SIGM_NOEU_0,STA_NL__SIGM_NOEU_1,STA_NL__SIGM_NOEU_2,STA_NL__SIGM_NOEU_3,STA_NL__SIGM_NOEU_4,STA_NL__SIGM_NOEU_5
129.5,-2007.08,-5295.5,-76.1802,5.75558,644.394,0.789271,4.04929,0.140368,-4.81121
131.812,-2007.08,-5293.19,-76.1802,5.90679,651.814,0.552141,3.88862,0.156634,-4.81291
134.125,-2007.08,-5290.88,-76.1802,6.03084,659.054,0.312373,3.72324,0.174543,-4.81078
136.438,-2007.08,-5288.56,-76.1802,6.1549,666.294,0.0726063,3.55786,0.192452,-4.80865
138.75,-2007.08,-5286.25,-76.1802,6.22492,673.154,0.105707,3.4541,0.217395,-4.78222
141.062,-2007.08,-5283.94,-76.1802,6.27603,679.881,0.234326,3.3719,0.244801,-4.7473
143.375,-2007.08,-5281.62,-76.1802,6.32714,686.609,0.362946,3.2897,0.272206,-4.71237
145.688,-2007.08,-5279.31,-76.1802,6.32569,693.389,1.38363,3.45945,0.311795,-4.62119
148,-2007.08,-5277,-76.1802,6.30923,700.185,2.65906,3.70114,0.354862,-4.51393
150.312,-2007.08,-5274.69,-76.1802,6.29277,706.981,3.93448,3.94284,0.397929,-4.40668
152.625,-2007.08,-5272.38,-76.1802,6.46975,715.28,7.42329,4.7567,0.463011,-4.17587
154.938,-2007.08,-5270.06,-76.1802,6.69069,723.921,11.4151,5.7006,0.533096,-3.91698
157.25,-2007.08,-5267.75,-76.1802,6.91163,732.561,15.4069,6.64449,0.603182,-3.65809
159.562,-2007.08,-5265.44,-76.1802,7.20598,745.669,23.6063,9.45718,0.711314,-3.14337
161.875,-2007.08,-5263.12,-76.1802,7.51311,759.555,32.5378,12.5951,0.826068,-2.58413
164.188,-2007.08,-5260.81,-76.1802,7.82024,773.44,41.4693,15.733,0.940821,-2.02489
166.5,-2007.08,-5258.5,-76.1802,19.5777,810.696,65.9738,21.6116,1.15661,-0.761332
168.812,-2007.08,-5256.19,-76.1802,32.7658,850.871,92.424,27.8326,1.38503,0.590227
171.125,-2007.08,-5253.88,-76.1802,45.9539,891.046,118.874,34.0537,1.61344,1.94179
173.438,-2007.08,-5251.56,-76.1802,68.1383,994.704,172.124,66.3088,2.58213,4.23299
175.75,-2007.08,-5249.25,-76.1802,91.0428,1103.44,227.52,100.648,3.61007,6.59941
178.062,-2007.08,-5246.94,-76.1802,113.947,1212.18,282.915,134.987,4.63802,8.96583
180.375,-2007.08,-5244.62,-76.1802,189.712,1110.65,309.676,220.03,8.94985,15.2952
182.688,-2007.08,-5242.31,-76.1802,267.505,1001.05,335.339,307.018,13.3877,21.7766
185,-2007.08,-5240,-76.1802,345.297,891.457,361.001,394.006,17.8255,28.2581
